Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Coin_Cell,CR2032_Holder,170.0,-84.55,90.0,top
C1,100nF,C_0402_1005Metric,141.9,-89.4,90.0,top
C2,100nF,C_0402_1005Metric,140.95,-85.25,0.0,top
J7,Micro_SD_TF_PUSH,TF-Push,164.25,-129.85,0.0,top
R1,100K,R_0402_1005Metric,138.2,-85.2,180.0,top
R2,10K,R_0402_1005Metric,137.9,-97.0,-90.0,top
R3,10K,R_0402_1005Metric,138.7,-80.0,0.0,top
R4,10K,R_0402_1005Metric,138.7,-81.3,0.0,top
U1,SN74HC74N,SOIC-14_3.9x8.7mm_P1.27mm,143.1,-94.25,0.0,top
U2,PCF8523T,SOIC-8_3.9x4.9mm_P1.27mm,143.6,-81.95,90.0,top
Y1,Crystal,Crystal_SMD_3215-2Pin_3.2x1.5mm,148.7,-83.35,90.0,top
